"Auron Developers" <dev@auron.incubator.apache.org>
"Baremaps Developers" <dev@baremaps.incubator.apache.org>
"BifroMQ Developers" <dev@bifromq.incubator.apache.org>
"Burr Developers" <dev@burr.incubator.apache.org>
"Fesod Developers" <dev@fesod.incubator.apache.org>
"Grails Developers" <dev@grails.incubator.apache.org>
"Iggy Developers" <dev@iggy.incubator.apache.org>
"KIE Developers" <dev@kie.incubator.apache.org>
"OpenServerless Developers" <dev@openserverless.incubator.apache.org>
"Otava Developers" <dev@otava.incubator.apache.org>
"OzHera Developers" <dev@ozhera.incubator.apache.org>
"Polaris Developers" <dev@polaris.incubator.apache.org>
"Pony Mail Developers" <dev@ponymail.incubator.apache.org>
"PouchDB Developers" <dev@pouchdb.incubator.apache.org>
"Texera Developers" <dev@texera.incubator.apache.org>
"Wayang Developers" <dev@wayang.incubator.apache.org>
