"Annotator Developers" <dev@annotator.incubator.apache.org>
"Beam Developers" <dev@beam.incubator.apache.org>
"Blur Developers" <blur-dev@incubator.apache.org>
"CarbonData Developers" <dev@carbondata.incubator.apache.org>
"Climate Model Diagnostic Analyzer Developers" <dev@cmda.incubator.apache.org>
"DistributedLog Developers" <dev@distributedlog.incubator.apache.org>
"Eagle Developers" <dev@eagle.incubator.apache.org>
"Edgent Developers" <dev@edgent.incubator.apache.org>
"Fineract Developers" <dev@fineract.incubator.apache.org>
"Fluo Developers" <dev@fluo.incubator.apache.org>
"Guacamole Developers" <dev@guacamole.incubator.apache.org>
"Hivemall Developers" <dev@hivemall.incubator.apache.org>
"Impala Developers" <dev@impala.incubator.apache.org>
"iota Developers" <dev@iota.incubator.apache.org>
"Joshua Developers" <dev@joshua.incubator.apache.org>
"NetBeans Developers" <dev@netbeans.incubator.apache.org>
"OpenWhisk Developers" <dev@openwhisk.incubator.apache.org>
"PredictionIO Developers" <dev@predictionio.incubator.apache.org>
"RocketMQ Developers" <dev@rocketmq.incubator.apache.org>
"S2Graph Developers" <general@incubator.apache.org>
"Sirona Developers" <dev@sirona.incubator.apache.org>
"Slider Developers" <dev@slider.incubator.apache.org>
"Spot Developers" <dev@spot.incubator.apache.org>
"SystemML Developers" <dev@systemml.incubator.apache.org>
"Tamaya Developers" <dev@tamaya.incubator.apache.org>
"Toree Developers" <dev@toree.incubator.apache.org>
"Unomi Developers" <dev@unomi.incubator.apache.org>
"Weex Developers" <dev@weex.incubator.apache.org>
