#identifier,name,sponsor
airflow,"Airflow","Incubator"
amaterasu,"Amaterasu","Incubator"
annotator,"Annotator","Incubator"
ariatosca,"AriaTosca","Incubator"
batchee,"BatchEE","Incubator"
daffodil,"Daffodil","Incubator"
datafu,"DataFu","Incubator"
edgent,"Edgent","Incubator"
freemarker,"FreeMarker","Incubator"
gearpump,"Gearpump","Incubator"
gobblin,"Gobblin","Incubator"
gossip,"Gossip","Incubator"
griffin,"Griffin","Incubator"
guacamole,"Guacamole","Incubator"
hawq,"HAWQ","Incubator"
heron,"Heron","Incubator"
hivemall,"Hivemall","Incubator"
htrace,"HTrace","Incubator"
impala,"Impala","Incubator"
iota,"iota","Incubator"
joshua,"Joshua","Incubator"
juneau,"Juneau","Incubator"
livy,"Livy","Incubator"
milagro,"Milagro","Incubator"
mnemonic,"Mnemonic","Incubator"
mxnet,"MXNet","Incubator"
myriad,"Myriad","Incubator"
netbeans,"NetBeans","Incubator"
odftoolkit,"ODFToolkit","Incubator"
omid,"Omid","Incubator"
openwhisk,"OpenWhisk","Incubator"
ponymail,"PonyMail","Incubator"
predictionio,"PredictionIO","Incubator"
pulsar,"Pulsar","Incubator"
quickstep,"Quickstep","Incubator"
ratis,"Ratis","Incubator"
rya,"Rya","Incubator"
s2graph,"S2Graph","Incubator"
samoa,"SAMOA","Incubator"
senssoft,"SensSoft","Incubator"
singa,"SINGA","Incubator"
slider,"Slider","Incubator"
spot,"Spot","Incubator"
superset,"Superset","Incubator"
tamaya,"Tamaya","Incubator"
taverna,"Taverna","Incubator"
tephra,"Tephra","Incubator"
toree,"Toree","Incubator"
trafficcontrol,"TrafficControl","Incubator"
trafodion,"Trafodion","Incubator"
unomi,"Unomi","Incubator"
wave,"Wave","Incubator"
weex,"Weex","Incubator"
