"Airflow Developers" <dev@airflow.incubator.apache.org>
"Annotator Developers" <dev@annotator.incubator.apache.org>
"BatchEE Developers" <dev@batchee.incubator.apache.org>
"DataFu Developers" <dev@datafu.incubator.apache.org>
"FreeMarker Developers" <dev@freemarker.incubator.apache.org>
"Gobblin Developers" <dev@gobblin.incubator.apache.org>
"Gossip Developers" <dev@gossip.incubator.apache.org>
"HAWQ Developers" <dev@hawq.incubator.apache.org>
"Heron Developers" <general@incubator.apache.org>
"HORN Developers" <dev@horn.incubator.apache.org>
"Juneau Developers" <dev@juneau.incubator.apache.org>
"Livy Developers" <dev@livy.incubator.apache.org>
"MADlib Developers" <dev@madlib.incubator.apache.org>
"Milagro Developers" <dev@milagro.incubator.apache.org>
"MRQL Developers" <dev@mrql.incubator.apache.org>
"MXNet Developers" <dev@mxnet.incubator.apache.org>
"Myriad Developers" <dev@myriad.incubator.apache.org>
"NetBeans Developers" <dev@netbeans.incubator.apache.org>
"ODF Toolkit Developers" <odf-dev@incubator.apache.org>
"Pulsar Developers" <dev@pulsar.incubator.apache.org>
"RocketMQ Developers" <dev@rocketmq.incubator.apache.org>
"Rya Developers" <dev@rya.incubator.apache.org>
"SensSoft Developers" <dev@senssoft.incubator.apache.org>
"Superset Developers" <dev@superset.incubator.apache.org>
"Traffic Control Developers" <dev@trafficcontrol.incubator.apache.org>
"Weex Developers" <dev@weex.incubator.apache.org>
